"","subID","Picture","Age","Gender","Gender_3_TEXT","English","Bilingual","Race","Race_6_TEXT","Education","Income","Status","SES","Zip"
"1",1,0,40,1,NA,1,2,"3","",2,4,4,2,33706
"4",2,0,40,2,NA,1,2,"3","",2,5,4,2,85044
"5",3,0,26,1,NA,1,2,"3","",4,7,6,4,21230
"6",4,0,24,2,NA,1,1,"3","",4,3,8,4,NA
"7",5,0,39,1,NA,1,2,"4","",2,5,5,2,95624
"8",6,0,25,2,NA,1,2,"3","",2,3,2,2,NA
"11",7,0,33,2,NA,1,2,"1,2","",3,6,5,3,49720
"12",8,0,47,2,NA,1,2,"3","",5,6,9,4,48198
"13",9,0,33,2,NA,1,2,"3","",2,7,6,3,84040
"14",10,0,32,1,NA,1,2,"3","",5,8,6,3,10030
"15",11,0,60,2,NA,1,2,"3","",4,4,5,3,27810
"16",12,0,25,1,NA,1,2,"3","",4,6,7,4,22309
"17",13,0,53,1,NA,1,2,"3","",4,6,5,3,89103
"18",14,0,31,1,NA,1,1,"4","",4,6,6,2,90033
"19",15,0,35,1,NA,1,2,"2","",4,7,5,3,62703
"20",16,0,44,1,NA,1,2,"3","",4,5,5,3,NA
"22",17,0,31,2,NA,1,2,"3","",4,6,6,3,37031
"23",18,0,32,2,NA,1,2,"3","",3,3,3,3,47274
"24",19,0,30,1,NA,1,2,"3","",2,2,5,3,2532
"25",20,0,36,1,NA,1,1,"2","",4,5,5,2,94602
"29",21,0,30,1,NA,1,2,"3","",2,4,5,3,91604
"30",22,0,59,1,NA,1,2,"3","",5,5,7,3,28731
"32",23,0,27,1,NA,1,2,"3","",3,11,8,4,92130
"33",24,0,30,2,NA,1,1,"3","",5,6,7,3,33772
"34",25,0,25,1,NA,1,1,"2","",4,1,5,2,75089
"35",26,0,26,2,NA,1,1,"1","",4,3,8,2,33324
"37",27,0,59,1,NA,1,2,"3","",2,3,3,1,95864
"38",28,0,44,1,NA,2,1,"2","",7,9,5,3,55906
