"","subID","Age","Gender","Gender_3_TEXT","English","Bilingual","Race","Race_6_TEXT","Education","Income","Polit","Status","SES","Zip"
"1",1,19,2,"",1,1,"2","",2,6,3,4,3,"92592"
"2",2,35,1,"",1,2,"3","",4,7,1,6,3,""
"3",3,20,1,"",1,2,"3","",2,11,2,7,4,"90065"
"4",4,28,2,"",1,2,"3","",4,5,1,6,3,"27610"
"5",5,28,2,"",1,1,"3","",5,2,7,3,2,NA
"6",6,49,1,"",1,2,"3","",4,8,7,7,3,"66216"
"7",7,27,2,"",1,2,"3","",4,7,6,3,2,"90046"
"8",8,29,1,"",1,1,"1","",5,8,7,6,3,"1003"
"9",9,27,2,"",1,1,"4","",4,4,6,4,2,"98684"
"10",10,33,2,"",1,2,"3","",7,1,7,6,3,""
"11",11,63,2,"",1,2,"3","",2,2,4,5,2,"32780"
"12",12,29,2,"",1,2,"3","",7,8,6,7,4,"73162"
"13",13,43,2,"",1,2,"3","",4,9,6,7,4,"49460"
"14",14,63,2,"",1,2,"3","",2,6,2,5,2,"31057"
"15",15,27,2,"",1,2,"3","",3,5,2,4,2,"72016"
"16",16,53,2,"",1,2,"3","",2,5,1,4,2,"59714"
"17",17,33,2,"",1,2,"3","",4,3,4,4,2,""
"18",18,37,1,"",1,2,"3","",2,2,6,3,1,"65807"
"19",19,53,2,"",1,2,"3","",3,3,6,8,1,"40165"
"20",20,33,1,"",1,1,"2","",7,3,5,6,2,""
"21",21,33,1,"",1,1,"4","",4,2,7,4,1,"92840"
"22",22,28,1,"",1,1,"2","",4,4,7,3,2,"2135"
"23",23,51,1,"",1,2,"3","",7,8,3,6,3,"77099"
"24",24,32,2,"",1,2,"3","",4,7,3,6,3,"784141"
"25",25,29,1,"",1,2,"3","",6,7,5,6,3,"40509"
"26",26,60,1,"",1,2,"3","",2,2,6,3,2,"7866"
"27",27,38,2,"",1,2,"3,4","",3,2,6,2,1,"47633"
"28",28,22,1,"",1,2,"3","",3,5,2,5,3,"48640"
"29",29,32,2,"",1,1,"1","",5,6,6,5,3,"12203"
"30",30,33,2,"",1,2,"3","",3,3,5,2,1,"46222"
"31",31,34,1,"",1,1,"3","",5,8,6,8,4,"60532"
"32",32,40,1,"",1,2,"3","",5,8,7,5,3,"21286"
"33",33,29,2,"",1,2,"3","",2,3,3,3,1,"27563"
"34",34,47,1,"",1,2,"3","",4,8,5,5,3,"59718"
"35",35,31,2,"",1,2,"3","",3,6,4,4,2,"75189"
"36",36,47,2,"",1,2,"3","",4,7,6,7,3,"29642"
"37",37,31,1,"",1,2,"3","",6,8,6,7,4,"22303"
"38",38,28,2,"",1,2,"3","",4,1,7,3,2,"95124"
"39",39,31,1,"",1,2,"3","",4,5,6,3,1,"97394"
"40",40,55,2,"",1,2,"3","",2,8,1,6,3,"38237"
"41",41,40,2,"",1,2,"2","",2,4,5,3,1,"95838"
"42",42,33,2,"",1,2,"3","",4,4,6,5,3,"83651"
"43",43,23,1,"",1,2,"1","",2,3,7,4,2,"15216"
"44",44,40,2,"",1,2,"3","",4,5,2,5,3,"30011"
"45",45,47,1,"",1,1,"3","",4,1,2,1,1,"77081"
"46",46,30,1,"",1,2,"3","",4,6,6,6,3,"4660"
"47",47,25,2,"",1,1,"2","",4,6,6,4,3,"96817"
"48",48,56,1,"",1,2,"2","",5,11,5,9,4,"95131"
"49",49,47,1,"",1,2,"3","",2,7,4,5,3,"37327"
"50",50,38,1,"",1,2,"3","",4,4,6,3,2,"27403"
"51",51,58,2,"",1,2,"3","",3,2,6,5,3,"5201"
"52",52,36,2,"",1,2,"3","",4,6,2,7,3,"92109"
"53",53,19,2,"",1,1,"3","",2,4,4,5,NA,"61853-3676"
"54",54,63,2,"",1,2,"3","",2,1,2,1,1,"8084"
"55",55,63,1,"",1,2,"3","",3,5,7,3,2,"34120"
"56",56,36,1,"",1,2,"3","",2,3,5,4,3,"96720"
"57",57,28,2,"",1,2,"1,2,3","",2,5,6,4,2,"55433"
"58",58,32,1,"",1,2,"3","",4,5,7,4,2,"98584"
"59",59,38,1,"",1,2,"3","",4,3,6,5,3,"89503"
"60",60,63,1,"",1,2,"3","",4,8,6,7,3,"18960"
"61",61,20,2,"",1,1,"3","",2,8,3,7,4,"75040"
"62",62,29,2,"",1,2,"3","",2,4,2,3,1,"40216"
"63",63,64,2,"",1,2,"3","",4,7,7,5,3,"35242"
"64",64,37,2,"",1,1,"2","",5,7,4,5,3,"8816"
"65",65,27,1,"",1,2,"1","",3,2,2,4,2,"38111"
"66",66,62,2,"",1,2,"3","",5,8,4,8,4,"78746"
"67",67,30,2,"",1,2,"3","",4,4,1,5,3,"15235"
"68",68,58,1,"",1,2,"3","",6,3,5,7,3,"8221"
"69",69,32,2,"",1,2,"1","",5,6,5,5,3,"27701"
"70",70,45,2,"",1,2,"3","",4,6,5,6,3,"73068"
"71",71,44,2,"",1,1,"3","",5,8,6,7,3,"32082"
"72",72,32,3,"non-binary",1,2,"3","",2,8,7,4,3,"66030"
"73",73,37,1,"",1,1,"4","",2,6,4,5,3,"33173"
"74",74,47,1,"",1,2,"3","",3,5,4,5,2,"73103"
"75",75,51,2,"",1,2,"3","",4,3,2,3,1,"68019"
"76",76,29,2,"",1,2,"3","",4,1,7,1,1,"27006"
"77",77,38,1,"",1,2,"3","",2,4,6,3,1,"60073"
"78",78,42,2,"",1,2,"3","",3,2,6,2,1,"17368"
"79",79,43,1,"",1,2,"3","",4,7,6,4,3,"6850"
"80",80,33,1,"",1,2,"3","",2,9,4,3,2,"89509"
"81",81,30,3,"agender",1,2,"3","",4,7,7,4,3,"55126"
"82",82,59,2,"",1,2,"3","",3,5,5,4,2,"50511"
"83",83,26,2,"",1,2,"3","",5,5,7,8,4,"84103"
"84",84,24,2,"",1,2,"4","",2,3,2,4,2,"73301"
"85",85,26,1,"",1,1,"4","",2,7,2,7,4,"33173"
"86",86,40,2,"",1,2,"3","",5,9,6,7,4,"19064"
"87",87,29,2,"",1,2,"3","",3,5,6,3,2,"48506"
"88",88,38,1,"",1,2,"3","",4,6,4,3,2,"79764"
"89",89,30,2,"",1,2,"3","",4,4,7,7,4,""
"90",90,41,2,"",1,2,"3","",4,6,6,6,3,"89015"
"91",91,47,1,"",2,1,"2","",2,6,7,5,2,"94015"
"92",92,27,2,"",1,2,"3","",2,2,6,2,1,"78148"
"93",93,43,2,"",1,2,"3","",5,6,6,3,2,"51104"
"94",94,35,1,"",1,1,"3","",5,8,6,8,4,"60622"
"95",95,43,2,"",1,2,"3","",4,8,7,7,3,"80526"
"96",96,31,2,"",1,2,"3","",4,5,6,5,3,"97229"
"97",97,62,2,"",1,2,"3","",4,7,6,5,3,"46220"
"98",98,35,2,"",1,2,"6","mix race",4,3,2,5,2,"11420"
"99",99,35,1,"",1,2,"3","",4,2,6,6,3,"79912"
"100",100,53,1,"",1,2,"3","",2,3,2,3,2,"76450"
"101",101,30,2,"",1,2,"3","",5,4,7,6,2,"65804"
"102",102,50,2,"",1,2,"3","",2,4,3,5,2,"80920"
"103",103,26,1,"",1,2,"3","",4,4,7,5,3,"49546"
"104",104,28,1,"",1,1,"3,4","",6,6,6,5,3,"85008"
"105",105,33,2,"",1,2,"3","",2,5,3,4,2,"79701"
"106",106,40,1,"",1,2,"3","",5,5,7,4,2,"84102"
"107",107,33,2,"",1,2,"3","",3,1,3,2,2,""
"108",108,37,1,"",1,2,"1","",3,6,6,6,4,"32817"
"109",109,42,1,"",1,2,"3","",4,8,3,6,3,"21045"
"110",110,36,2,"",1,2,"3","",2,5,7,6,3,"49286"
"111",111,64,1,"",1,2,"3","",4,1,6,3,2,"85201"
"112",112,34,2,"",1,2,"3","",4,6,6,6,3,"4048"
"113",113,27,2,"",1,2,"3","",4,7,6,4,3,"27530"
"114",114,24,1,"",1,1,"2","",4,5,6,6,3,""
"115",115,63,2,"",1,2,"3","",3,6,4,6,3,"68506"
"116",116,56,2,"",1,2,"1","",2,7,4,6,3,"20716"
"117",117,45,2,"",1,1,"2","",5,7,5,5,3,"96822"
"118",118,55,2,"",1,2,"6","",4,2,5,2,3,"77905"
"119",119,33,2,"",1,1,"3","",4,8,4,5,3,"20851"
"120",120,26,1,"",1,2,"1,2","",4,3,7,4,2,"33162"
"121",121,59,2,"",1,2,"3","",4,5,1,3,2,"47341"
"122",122,33,1,"",1,2,"2","",5,5,5,5,3,"20850"
"123",123,34,1,"",1,2,"3","",4,8,7,5,3,"89141"
"124",124,54,2,"",1,2,"1","",2,1,5,2,2,"23605"
"125",125,49,2,"",1,2,"3","",3,6,3,4,3,"75098"
"126",126,29,2,"",1,2,"3","",5,6,6,4,3,""
"127",127,56,2,"",1,1,"3","",5,5,6,4,3,"6413"
"128",128,36,1,"",1,2,"3","",2,7,2,5,2,"98272"
"129",129,29,2,"",1,2,"3","",4,8,6,7,3,"27610"
"130",130,46,2,"",1,2,"3","",2,2,2,3,1,"64127"
"131",131,29,2,"",1,2,"1,3","",3,8,6,8,3,"21740"
"132",132,39,2,"",1,2,"3","",2,6,7,4,2,"89408"
"133",133,43,1,"",1,1,"3","",5,9,6,6,3,"20175"
"134",134,42,1,"",1,2,"3","",2,6,5,3,3,"95831"
"135",135,43,2,"",1,2,"1,3","",2,5,7,3,2,"97233"
"136",136,34,1,"",1,1,"3","",4,7,3,6,3,"34120"
"137",137,21,2,"",1,2,"3","",4,5,6,6,3,"29708"
"138",138,21,1,"",1,1,"3","",2,2,6,5,3,"61820"
"139",139,34,2,"",1,2,"3","",4,8,6,7,4,"93312"
"140",140,24,2,"",1,2,"6","Black American",4,9,4,6,3,"77338"
"141",141,28,2,"",1,2,"3","",5,4,6,4,2,""
"142",142,20,1,"",1,1,"4","",2,4,6,4,1,"76010"
"143",143,28,1,"",1,2,"3","",5,6,2,6,3,""
"144",144,29,2,"",2,1,"2","",7,7,5,7,3,"19003"
"145",145,29,1,"",1,1,"3","",4,3,7,5,2,"8816"
"146",146,30,2,"",1,2,"3","",3,4,6,2,2,""
"147",147,37,1,"",1,2,"3","",4,8,2,6,3,"37312"
"148",148,57,1,"",1,2,"3","",4,2,5,8,3,""
"149",149,48,2,"",1,2,"3","",2,5,5,5,2,"99336"
"150",150,62,2,"",1,2,"3","",4,5,6,5,3,"28805"
"151",151,35,1,"",1,1,"2","",4,7,3,5,3,"44135"
"152",152,40,1,"",1,1,"4","",4,4,7,6,2,"44118"
"153",153,19,1,"",1,2,"3","",2,2,7,3,2,"44113"
"154",154,40,1,"",1,2,"3","",5,8,7,7,3,"53051"
"155",155,31,1,"",1,2,"3","",4,3,7,4,2,"60513"
"156",156,30,2,"",1,NA,"3","",3,3,1,4,2,"38401"
"157",157,36,1,"",1,2,"3","",2,1,6,2,1,"55805"
"158",158,30,1,"",1,2,"3","",4,1,5,2,1,"40272"
"159",159,42,1,"",1,2,"3","",5,3,5,2,1,"44136"
"160",160,33,1,"",1,2,"1","",4,3,6,4,2,""
"161",161,54,2,"",1,2,"3","",5,10,6,7,4,"92131"
"162",162,41,1,"",1,2,"1","",7,9,7,7,3,"45215"
"163",163,49,2,"",1,2,"3","",5,8,2,7,NA,"80134"
"164",164,34,2,"",1,2,"3","",4,4,4,5,4,"32767"
"165",165,40,2,"",1,2,"1","",5,8,6,5,3,"22553"
"166",166,35,2,"",1,2,"1","",5,5,6,3,2,"36109"
"167",167,24,3,"Nebularian",1,2,"3","",4,1,7,2,1,"12203"
"168",168,42,1,"",1,1,"2","",5,9,6,7,4,"2148"
"169",169,57,2,"",1,2,"3","",3,6,7,3,2,"37347"
"170",170,26,1,"",1,1,"3","",4,2,5,3,2,"15931"
"171",171,30,2,"",1,2,"6","romanian",2,1,5,3,2,"95159"
"172",172,30,2,"",1,2,"3","",2,1,3,2,1,"32534"
"173",173,25,2,"",1,2,"3","",3,4,7,5,2,"76021"
"174",174,31,1,"",1,2,"3,4","",3,4,4,7,3,"80909"
"175",175,24,2,"",1,2,"1","",4,5,5,6,3,""
"176",176,25,2,"",1,1,"4","",2,5,6,4,2,"10456"
"177",177,49,1,"",1,1,"3","",4,4,6,2,1,"64111"
"178",178,56,2,"",1,2,"3","",4,7,2,6,3,"30040"
"179",179,32,1,"",1,2,"3","",2,4,2,3,1,"17257"
"180",180,46,1,"",1,2,"3","",2,5,4,4,2,"80012"
"181",181,22,1,"",1,2,"3","",2,2,4,6,3,""
